"indicator ",reporter_code,reporter_name,year,classification_version,product_code,partner_code,partner_name,value,source
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,281520,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,280920,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,280610,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,270111,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,262021,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,252510,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,252390,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,252010,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,250900,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,250810,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,240399,A000,World,117.943333333333,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,220820,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,220429,A000,World,4.875,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,220291,A000,World,0.12,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,190240,A000,World,6.4,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,180620,A000,World,10.5495,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,170199,A000,World,28.96,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,160250,A000,World,2.08333333333333,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,151090,A000,World,1.06666666666667,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,140420,A000,World,0,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,130212,A000,World,3.8,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,120770,A000,World,0.01,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,110813,A000,World,0.56,WTO IDB
MFN_applied_duty_simple_average_in_percentage,C840,United States of America,2024,HS22,110811,A000,World,0.75,WTO IDB
